city,city_ascii,lat,lng,country,iso2,iso3,capital,population,IATA,ICAO,Airport
Moscow,Moscow,55.7558,37.6178,Russia,RU,RUS,primary,17332000.0,SVO,UUEE,Sheremetyevo Intl Airport
Moscow,Moscow,55.7558,37.6178,Russia,RU,RUS,primary,17332000.0,VKO,UUWW,Vnukovo Airport
Moscow,Moscow,55.7558,37.6178,Russia,RU,RUS,primary,17332000.0,DME,UUDD,Domodedovo Intl Airport
Istanbul,Istanbul,41.0136,28.955,Turkey,TR,TUR,admin,16079000.0,SAW,LTFJ,Istanbul Sabiha Gokcen Intl Airport
Istanbul,Istanbul,41.0136,28.955,Turkey,TR,TUR,admin,16079000.0,IST,LTBA,Istanbul Ataturk Intl Airport
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,primary,11262000.0,LTN,EGGW,London Luton Airport
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,primary,11262000.0,LHR,EGLL,London Heathrow Airport
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,primary,11262000.0,LGW,EGKK,London Gatwick Airport
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,primary,11262000.0,BQH,EGKB,London Biggin Hill Airport
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,primary,11262000.0,LCY,EGLC,London City Airport
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,primary,11262000.0,STN,EGSS,London Stansted Airport
Paris,Paris,48.8567,2.3522,France,FR,FRA,primary,11060000.0,ORY,LFPO,Paris - Orly Airport
Paris,Paris,48.8567,2.3522,France,FR,FRA,primary,11060000.0,CDG,LFPG,Paris - Roissy Charles de Gaulle Airport
Paris,Paris,48.8567,2.3522,France,FR,FRA,primary,11060000.0,LBG,LFPB,Paris - Le Bourget Airport
Madrid,Madrid,40.4169,-3.7033,Spain,ES,ESP,primary,6211000.0,TOJ,LETO,Madrid Torrejon Airport
Madrid,Madrid,40.4169,-3.7033,Spain,ES,ESP,primary,6211000.0,MAD,LEMD,Madrid Barajas Intl Airport
Ankara,Ankara,39.93,32.85,Turkey,TR,TUR,primary,5503985.0,ESB,LTAC,Ankara Esenboga Intl Airport
Saint Petersburg,Saint Petersburg,59.95,30.3167,Russia,RU,RUS,admin,5384342.0,LED,ULLI,Pulkovo Airport
Barcelona,Barcelona,41.3825,2.1769,Spain,ES,ESP,admin,4800000.0,BCN,LEBL,Barcelona Intl Airport (El Prat)
Berlin,Berlin,52.52,13.405,Germany,DE,DEU,primary,4473101.0,TXL,EDDT,Berlin Tegel (Otto Lilienthal)
Berlin,Berlin,52.52,13.405,Germany,DE,DEU,primary,4473101.0,BER,EDDB,Berlin Brandenburg (Willy Brandt)
Berlin,Berlin,52.52,13.405,Germany,DE,DEU,primary,4473101.0,SXF,EDDB,Berlin Schonefeld
İzmir,Izmir,38.42,27.14,Turkey,TR,TUR,admin,4320519.0,ADB,LTBJ,Izmir Adnan Menderes Airport
Budapest,Budapest,47.4925,19.0514,Hungary,HU,HUN,primary,2997958.0,BUD,LHBP,Budapest Ferihegy Intl Airport
Bursa,Bursa,40.1833,29.05,Turkey,TR,TUR,admin,2901396.0,YEI,LTBR,Bursa Yenisehir Airport
Rome,Rome,41.8931,12.4828,Italy,IT,ITA,primary,2872800.0,CIA,LIRA,Ciampino Airport (Giovan Battista Pastine)
Rome,Rome,41.8931,12.4828,Italy,IT,ITA,primary,2872800.0,FCO,LIRF,Fiumicino (Leonardo Da Vinci Intl Airport)
