city,avc,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Amsterdam,0.147,0.033,0.01,0.019,0.017,0.014,0.011,0.044,0.014,0.063,0.06,0.026,0.047
Antwerp,0.073,0.037,0.039,0.056,0.037,0.035,0.039,0.055,0.059,0.081,0.062,0.045,0.063
Barcelona,0.115,0.04,0.108,0.051,0.027,0.026,0.026,0.008,0.025,0.029,0.025,0.026,0.097
Berlin,0.158,0.028,0.019,0.02,0.015,0.026,0.051,0.046,0.026,0.04,0.022,0.018,0.056
Brussels,0.116,0.023,0.015,0.02,0.025,0.008,0.009,0.006,0.008,0.081,0.046,0.028,0.064
Ghent,0.099,0.023,0.025,0.023,0.016,0.018,0.019,0.022,0.019,0.049,0.024,0.02,0.038
Lisbon,0.148,0.026,0.008,0.02,0.009,0.035,0.014,0.007,0.013,0.021,0.013,0.034,0.068
Madrid,0.079,0.037,0.024,0.041,0.028,0.045,0.028,0.025,0.02,0.059,0.055,0.037,0.073
Munich,0.189,0.013,0.008,0.029,0.01,0.02,0.036,0.033,0.032,0.138,0.049,0.009,0.033
Oslo,0.159,0.01,0.01,0.015,0.009,0.01,0.017,0.009,0.012,0.022,0.012,0.01,0.012
Paris,0.101,0.017,0.007,0.012,0.008,0.013,0.009,0.139,0.15,0.078,0.039,0.013,0.044
Valencia,0.084,0.02,0.011,0.075,0.01,0.011,0.022,0.009,0.01,0.032,0.027,0.04,0.069
Vienna,0.185,0.058,0.016,0.032,0.02,0.024,0.021,0.015,0.101,0.062,0.031,0.027,0.101
